country,country_code,outbreak_idx,start_date,end_date,termination_reason,total_increment,duration_weeks,model,goodness_of_fit,K,lam,a
Morocco,MAR,1,2022-05-29,2024-10-06,reached last data,7,9,Weibull,0.9941919234544095,7.638614171548087,0.09256531519765807,4.6456388267395985
Mozambique,MOZ,1,2022-10-02,2022-10-23,4 consecutive weeks no increase,1,4,Weibull,0.9999999999999998,1.0,0.2596404539150464,77.69816684820027
Nigeria,NGA,1,2022-01-02,2022-02-06,4 consecutive weeks no increase,3,6,Weibull,0.9983679509884045,3.010814703108254,0.20619523715227267,5.709731740322012
Nigeria,NGA,2,2022-02-13,2023-06-25,4 consecutive weeks no increase,840,72,Weibull,0.9990965765879951,823.4892409670365,0.026355636391910922,4.3112737858674075
Nigeria,NGA,3,2023-07-09,2023-08-13,4 consecutive weeks no increase,3,6,Weibull,0.9858028198813515,3.032395234290123,0.1873918175909104,6.32633579369543
Nigeria,NGA,4,2023-11-05,2024-01-07,4 consecutive weeks no increase,15,10,Weibull,0.9951504309961353,14.447067845962643,0.16625887925146307,13.349343306135111
Nigeria,NGA,5,2024-01-21,2025-01-12,reached last data,195,52,Weibull,0.9929798282584552,387743.2376348478,0.0010484604066932155,2.652003390368269
Rwanda,RWA,1,2024-07-21,2024-08-11,4 consecutive weeks no increase,4,4,Weibull,1.0,4.0,0.25929844704793537,82.05442434754107
Rwanda,RWA,2,2024-09-08,2025-01-12,reached last data,78,19,Weibull,0.996902381603236,81.67741841164096,0.06059228014160364,4.265674405266865
Sierra Leone,SLE,1,2025-01-05,2025-01-19,reached last data,8,3,Weibull,1.0,8.0,0.16470738090168607,105.35826321380658
South Africa,ZAF,1,2022-06-26,2022-09-11,4 consecutive weeks no increase,5,12,Weibull,0.9889695150642095,5.241384821671983,0.10897639453803062,2.3713592806626864
South Africa,ZAF,2,2024-05-05,2024-08-18,4 consecutive weeks no increase,24,16,Weibull,0.9958603950828356,23.59354427400315,0.0973138897422238,4.281974821719907
South Africa,ZAF,3,2024-09-01,2024-09-22,4 consecutive weeks no increase,1,4,Weibull,0.9999999999999998,1.0,0.2596404539150464,77.69816684820027
Sudan,SDN,1,2022-07-31,2023-04-09,reached last data,19,9,Weibull,0.9876284308514016,19.678646499672446,0.09518650346040208,6.935384585372423
Uganda,UGA,1,2024-07-21,2025-01-19,reached last data,2031,27,Weibull,0.9991702431400489,2722.52591568929,0.03450984751084761,5.047668976444337
Zambia,ZMB,1,2024-10-06,2024-10-27,4 consecutive weeks no increase,1,4,Weibull,0.9999999999999998,1.0,0.2596404539150464,77.69816684820027
Zambia,ZMB,2,2024-12-22,2025-01-05,reached last data,3,3,Weibull,1.0,3.0,0.16680147144364058,116.32359387840387
Zimbabwe,ZWE,1,2024-10-06,2024-10-27,4 consecutive weeks no increase,2,4,Weibull,1.0,2.0,0.2593436880705124,81.632012382721
